name,pts,terrain,intervisibility,area1,population,area2
Buritaca 200 (Ciudad Perdida),96,71545,6845,26,1710,813474.290036826
Koskunguena,64,51279,5342,23,1518,535797.90542297
Pirámide (Julepia),32,29382,3595,20.2,1330,283076.000108829
Nulicuandecue,46,14230,0,13,855,377139.979217631
Alto de Mira,20,39109,2519,9.7,640,167984.58223963
Tankua,54,29067,1663,8,522,453803.242024989
Casa Troja,10,10572,760,4.2,275,85311.1727611972
Frontera,8,2102,446,3.6,237,78581.2253927247
Jacinto,12,5637,395,3.6,237,92919.2652094381
Vallecito,26,34291,2710,3.6,237,211321.998885673
Pueblo Indio,13,10539,1370,3.6,237,117183.404373367
Lozano,7,6554,760,2.7,178,67945.9876360263
Piedra Redonda,8,4261,327,2.16,145,72407.9821339847
Purgatorio,9,1747,454,2.16,145,85063.4383284393
Zancudo,14,27961,2825,2.16,145,108688.104383041
Tigres,15,5734,97,1.62,107,120644.429714406
Fronterita,3,2732,79,1.44,95,23670.9030443389
Piscina,7,22466,1880,1.08,72,56197.7974501262
Helipuerto II,9,4697,1414,1.08,72,90832.9030348769
Páramo,12,27153,2544,1.08,72,97230.2120835128
La Isla,13,2976,858,0.7,46,113689.161492146
La Estrella,4,2719,395,0.54,35,29660.5906908624
Morro enfrente,8,4280,1258,0.36,25,74977.1359275963
Finca Jacinto,2,1316,170,0,0,23433.7607357572
Seis Planadas,7,11769,1046,0,0,60723.7104014422
Valle Perdido,3,768,12,0,0,24563.3201379725
Hormiguero,8,4420,182,0,0,65049.5680808342
Gorgona,13,1925,0,0,0,111966.846332812
